Saw 100 2-patches, 3 surroundable
Saw 200 2-patches, 12 surroundable
Saw 300 2-patches, 19 surroundable
Saw 400 2-patches, 35 surroundable
Saw 500 2-patches, 40 surroundable
Saw 600 2-patches, 40 surroundable
Saw 700 2-patches, 66 surroundable
Saw 800 2-patches, 76 surroundable
Saw 900 2-patches, 78 surroundable
Saw 1000 2-patches, 103 surroundable
Saw 1100 2-patches, 107 surroundable
Saw 1200 2-patches, 116 surroundable
Saw 1300 2-patches, 129 surroundable
Saw 1400 2-patches, 142 surroundable
Saw 1500 2-patches, 146 surroundable
Saw 1600 2-patches, 147 surroundable
Saw 1700 2-patches, 148 surroundable
Saw 1800 2-patches, 152 surroundable
Saw 1900 2-patches, 156 surroundable
Saw 2000 2-patches, 157 surroundable
Saw 2100 2-patches, 163 surroundable
Saw 2200 2-patches, 167 surroundable
Saw 2300 2-patches, 172 surroundable
Total: 2380 2-patches, 188 surroundable
