role,panel,local_index,centre_x,centre_y,centre_z,signed_coefficient,signed_true_height,display_width_factor,display_height_factor,canonical_mesh_faces,panel_table,profile,display_centre_sign_height
0,0,0,0,3/8,1/4,1,1/10000,5,80,4/4,PASS,PASS,PASS
1,0,1,0,3/8,3/4,2,1/5000,5,80,4/4,PASS,PASS,PASS
2,0,2,0,5/8,1/4,3,3/10000,5,80,4/4,PASS,PASS,PASS
3,0,3,0,5/8,3/4,4,1/2500,5,80,4/4,PASS,PASS,PASS
4,0,4,0,1/4,3/8,5,1/2000,5,80,4/4,PASS,PASS,PASS
5,0,5,0,1/4,5/8,6,3/5000,5,80,4/4,PASS,PASS,PASS
6,0,6,0,3/4,3/8,7,7/10000,5,80,4/4,PASS,PASS,PASS
7,0,7,0,3/4,5/8,8,1/1250,5,80,4/4,PASS,PASS,PASS
8,1,0,0,3/8,5/4,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
9,1,1,0,3/8,7/4,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
10,1,2,0,5/8,5/4,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
11,1,3,0,5/8,7/4,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
12,1,4,0,1/4,11/8,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
13,1,5,0,1/4,13/8,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
14,1,6,0,3/4,11/8,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
15,1,7,0,3/4,13/8,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
16,2,0,0,11/8,1/4,6,3/5000,5,80,4/4,PASS,PASS,PASS
17,2,1,0,11/8,3/4,8,1/1250,5,80,4/4,PASS,PASS,PASS
18,2,2,0,13/8,1/4,5,1/2000,5,80,4/4,PASS,PASS,PASS
19,2,3,0,13/8,3/4,7,7/10000,5,80,4/4,PASS,PASS,PASS
20,2,4,0,5/4,3/8,2,1/5000,5,80,4/4,PASS,PASS,PASS
21,2,5,0,5/4,5/8,4,1/2500,5,80,4/4,PASS,PASS,PASS
22,2,6,0,7/4,3/8,1,1/10000,5,80,4/4,PASS,PASS,PASS
23,2,7,0,7/4,5/8,3,3/10000,5,80,4/4,PASS,PASS,PASS
24,3,0,0,11/8,5/4,9,9/10000,5,80,4/4,PASS,PASS,PASS
25,3,1,0,11/8,7/4,10,1/1000,5,80,4/4,PASS,PASS,PASS
26,3,2,0,13/8,5/4,11,11/10000,5,80,4/4,PASS,PASS,PASS
27,3,3,0,13/8,7/4,12,3/2500,5,80,4/4,PASS,PASS,PASS
28,3,4,0,5/4,11/8,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
29,3,5,0,5/4,13/8,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
30,3,6,0,7/4,11/8,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
31,3,7,0,7/4,13/8,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
32,4,0,1,11/8,5/4,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
33,4,1,1,11/8,7/4,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
34,4,2,1,13/8,5/4,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
35,4,3,1,13/8,7/4,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
