role,panel,chair_visible_pixels,inset_visible_pixels,panel_oblique_visible_pixels
0,0,0,,
1,0,0,,
2,0,0,,
3,0,0,,
4,0,0,,
5,0,0,,
6,0,0,,
7,0,0,,
8,1,0,,
9,1,0,,
10,1,0,,
11,1,0,,
12,1,0,,
13,1,0,,
14,1,0,,
15,1,0,,
16,2,0,,
17,2,0,,
18,2,0,,
19,2,0,,
20,2,0,,
21,2,0,,
22,2,0,,
23,2,0,,
24,3,0,,
25,3,0,,
26,3,0,,
27,3,0,,
28,3,0,,
29,3,0,,
30,3,0,,
31,3,0,,
32,4,0,,
33,4,274,,
34,4,0,,
35,4,1671,,
36,4,0,,
37,4,0,,
38,4,0,,
39,4,1582,,
40,5,1683,,
41,5,1677,,
42,5,1666,,
43,5,1682,,
44,5,2380,,
45,5,2122,,
46,5,2273,,
47,5,2014,,
48,6,1667,,
49,6,1683,,
50,6,1683,,
51,6,1683,,
52,6,1683,,
53,6,1683,,
54,6,1671,,
55,6,1683,,
56,7,1670,,
57,7,1674,,
58,7,1683,,
59,7,1683,,
60,7,1856,,
61,7,1939,,
62,7,1716,,
63,7,1769,,
64,8,2026,,
65,8,2024,,
66,8,2072,,
67,8,2076,,
68,8,2072,,
69,8,2075,,
70,8,2072,,
71,8,2073,,
72,9,2022,,
73,9,2026,,
74,9,2075,,
75,9,2072,,
76,9,2074,,
77,9,2076,,
78,9,2108,,
79,9,2076,,
80,10,0,,
81,10,0,,
82,10,0,,
83,10,0,,
84,10,0,,
85,10,0,,
86,10,0,,
87,10,0,,
88,11,0,,
89,11,0,,
90,11,0,,
91,11,0,,
92,11,0,,
93,11,0,,
94,11,0,,
95,11,0,,
96,12,2073,,
97,12,2072,,
98,12,2075,,
99,12,2074,,
100,12,2076,,
101,12,2072,,
102,12,2075,,
103,12,2073,,
104,13,2074,9702,7862
105,13,2074,9702,7864
106,13,2072,9662,7864
107,13,2076,9650,7862
108,13,2145,9650,7878
109,13,2283,9702,8313
110,13,2234,9662,8098
111,13,2416,9702,8538
112,14,0,,
113,14,0,,
114,14,0,,
115,14,0,,
116,14,0,,
117,14,0,,
118,14,0,,
119,14,0,,
120,15,0,,
121,15,0,,
122,15,0,,
123,15,0,,
124,15,0,,
125,15,0,,
126,15,0,,
127,15,0,,
128,16,0,,
129,16,0,,
130,16,0,,
131,16,0,,
132,16,0,,
133,16,0,,
134,16,0,,
135,16,0,,
136,17,1179,,
137,17,1188,,
138,17,1190,,
139,17,1079,,
140,17,2388,,
141,17,2112,,
142,17,2247,,
143,17,1941,,
144,18,0,,
145,18,0,,
146,18,0,,
147,18,0,,
148,18,0,,
149,18,0,,
150,18,0,,
151,18,0,,
152,19,1173,,
153,19,1190,,
154,19,1186,,
155,19,1188,,
156,19,1188,,
157,19,1190,,
158,19,1186,,
159,19,1173,,
160,20,0,,
161,20,0,,
162,20,0,,
163,20,0,,
164,20,0,,
165,20,0,,
166,20,0,,
167,20,0,,
168,21,1189,,
169,21,1208,,
170,21,1173,,
171,21,1172,,
172,21,1639,,
173,21,1784,,
174,21,1329,,
175,21,1492,,
176,22,0,,
177,22,0,,
178,22,0,,
179,22,0,,
180,22,0,,
181,22,0,,
182,22,0,,
183,22,0,,
184,23,0,,
185,23,405,,
186,23,0,,
187,23,1087,,
188,23,0,,
189,23,0,,
190,23,2066,,
191,23,1950,,
